"country","obesityRate","pop2021"
"Vietnam","2.1000","98168.8330"
"Bangladesh","3.6000","166303.4980"
"Timor-Leste","3.8000","1343.8730"
"India","3.9000","1393409.0380"
"Cambodia","3.9000","16946.4380"
"Nepal","4.1000","29674.9200"
"Japan","4.3000","126050.8040"
"Ethiopia","4.5000","117876.2270"
"South Korea","4.7000","51305.1860"
"Eritrea","5","3601.4670"
"Sri Lanka","5.2000","21497.3100"
"Uganda","5.3000","47123.5310"
"Madagascar","5.3000","28427.3280"
"Laos","5.3000","7379.3580"
"Burundi","5.4000","12255.4330"
"Afghanistan","5.5000","39835.4280"
"Niger","5.5000","25130.8170"
"Burkina Faso","5.6000","21497.0960"
"Myanmar","5.8000","54806.0120"
"Malawi","5.8000","19647.6840"
"Rwanda","5.8000","13276.5130"
"Chad","6.1000","16914.9850"
"Singapore","6.1000","5896.6860"
"China","6.2000","1444216.1070"
"Philippines","6.4000","111046.9130"
"Bhutan","6.4000","779.8980"
"DR Congo","6.7000","92377.9930"
"North Korea","6.8000","25887.0410"
"Indonesia","6.9000","276361.7830"
"Kenya","7.1000","54985.6980"
"Mozambique","7.2000","32163.0470"
"Central African Republic","7.5000","4919.9810"
"Guinea","7.7000","13497.2440"
"Comoros","7.8000","888.4510"
"Equatorial Guinea","8","1449.8960"
"Zambia","8.1000","18920.6510"
"Angola","8.2000","33933.6100"
"Somalia","8.3000","16359.5040"
"Tanzania","8.4000","61498.4370"
"Togo","8.4000","8478.2500"
"Pakistan","8.6000","225199.9370"
"Sudan","8.6000","44909.3530"
"Mali","8.6000","20855.7350"
"South Sudan","8.6000","11381.3780"
"Maldives","8.6000","543.6170"
"Sierra Leone","8.7000","8141.3430"
"Senegal","8.8000","17196.3010"
"Nigeria","8.9000","211400.7080"
"Guinea-Bissau","9.5000","2015.4940"
"Benin","9.6000","12451.0400"
"Republic of the Congo","9.6000","5657.0130"
"Liberia","9.9000","5180.2030"
"Thailand","10","69950.8500"
"Ivory Coast","10.3000","27053.6290"
"Gambia","10.3000","2486.9450"
"Mauritius","10.8000","1273.4330"
"Ghana","10.9000","31732.1290"
"Cameroon","11.4000","27224.2650"
"Cape Verde","11.8000","561.8980"
"Sao Tome and Principe","12.4000","223.3680"
"Mauritania","12.7000","4775.1190"
"Djibouti","13.5000","1002.1870"
"Seychelles","14","98.9080"
"Brunei","14.1000","441.5320"
"Tajikistan","14.2000","9749.6270"
"Gabon","15","2278.8250"
"Zimbabwe","15.5000","15092.1710"
"Malaysia","15.6000","32776.1940"
"Swaziland","16.5000","1172.3620"
"Uzbekistan","16.6000","33935.7630"
"Kyrgyzstan","16.6000","6628.3560"
"Lesotho","16.6000","2159.0790"
"Yemen","17.1000","30490.6400"
"Namibia","17.2000","2587.3440"
"Bosnia and Herzegovina","17.9000","3263.4660"
"Turkmenistan","18.6000","6117.9240"
"Trinidad and Tobago","18.6000","1403.3750"
"Moldova","18.9000","4024.0190"
"Botswana","18.9000","2397.2410"
"Antigua and Barbuda","18.9000","98.7310"
"Switzerland","19.5000","8715.4940"
"Peru","19.7000","33359.4180"
"Denmark","19.7000","5813.2980"
"Saint Lucia","19.7000","184.4000"
"Italy","19.9000","60367.4770"
"Ecuador","19.9000","17888.4750"
"Azerbaijan","19.9000","10223.3420"
"Austria","20.1000","9043.0700"
"Bolivia","20.2000","11832.9400"
"Armenia","20.2000","2968.1270"
"Slovenia","20.2000","2078.7240"
"Guyana","20.2000","790.3260"
"Paraguay","20.3000","7219.6380"
"Netherlands","20.4000","17173.0990"
"Slovakia","20.5000","5460.7210"
"Sweden","20.6000","10160.1690"
"Mongolia","20.6000","3329.2890"
"Portugal","20.8000","10167.9250"
"Kazakhstan","21","18994.9620"
"Guatemala","21.2000","18249.8600"
"Estonia","21.2000","1325.1850"
"Papua New Guinea","21.3000","9119.0100"
"Grenada","21.3000","113.0210"
"Honduras","21.4000","10062.9910"
"Serbia","21.5000","8697.5500"
"France","21.6000","65426.1790"
"Georgia","21.7000","3979.7650"
"Albania","21.7000","2872.9330"
"Cyprus","21.8000","1215.5840"
"Iceland","21.9000","343.3530"
"Brazil","22.1000","213993.4370"
"Belgium","22.1000","11632.3260"
"Finland","22.2000","5548.3600"
"Germany","22.3000","83900.4730"
"Colombia","22.3000","51265.8440"
"Macedonia","22.4000","2082.6580"
"Romania","22.5000","19127.7740"
"Solomon Islands","22.5000","703.9960"
"Luxembourg","22.6000","634.8140"
"Haiti","22.7000","11541.6850"
"Panama","22.7000","4381.5790"
"Saint Kitts and Nevis","22.9000","53.5440"
"Russia","23.1000","145912.0250"
"Poland","23.1000","37797.0050"
"Norway","23.1000","5465.6300"
"Barbados","23.1000","287.7110"
"Montenegro","23.3000","628.0530"
"Latvia","23.6000","1866.9420"
"Nicaragua","23.7000","6702.3850"
"Spain","23.8000","46745.2160"
"Ukraine","24.1000","43466.8190"
"Belize","24.1000","404.9140"
"Saint Vincent and the Grenadines","24.1000","111.2630"
"Croatia","24.4000","4081.6510"
"Belarus","24.5000","9442.8620"
"Cuba","24.6000","11317.5050"
"El Salvador","24.6000","6518.4990"
"Jamaica","24.7000","2973.4630"
"Greece","24.9000","10370.7440"
"Bulgaria","25","6896.6630"
"Vanuatu","25.2000","314.4640"
"Ireland","25.3000","4982.9070"
"Venezuela","25.6000","28704.9540"
"Andorra","25.6000","77.3550"
"Costa Rica","25.7000","5139.0520"
"Iran","25.8000","85028.7590"
"Czech Republic","26","10724.5550"
"Morocco","26.1000","37344.7950"
"Israel","26.1000","8789.7740"
"Lithuania","26.3000","2689.8620"
"Hungary","26.4000","9634.1640"
"Suriname","26.4000","591.8000"
"Tunisia","26.9000","11935.7660"
"Oman","27","5223.3750"
"Algeria","27.4000","44616.6240"
"Dominican Republic","27.6000","10953.7030"
"United Kingdom","27.8000","68207.1160"
"Syria","27.8000","18275.7020"
"Uruguay","27.9000","3485.1510"
"Dominica","27.9000","72.1670"
"Chile","28","19212.3610"
"South Africa","28.3000","60041.9940"
"Argentina","28.3000","45605.8260"
"Mexico","28.9000","130262.2160"
"Malta","28.9000","442.7840"
"Australia","29","25788.2150"
"Canada","29.4000","38067.9030"
"Bahrain","29.8000","1748.2960"
"Fiji","30.2000","902.9060"
"Iraq","30.4000","41179.3500"
"New Zealand","30.8000","4860.6430"
"Bahamas","31.6000","396.9130"
"United Arab Emirates","31.7000","9991.0890"
"Egypt","32","104258.3270"
"Turkey","32.1000","85042.7380"
"Libya","32.5000","6958.5320"
"Lebanon","33.7000","6769.1460"
"Qatar","35.1000","2930.5280"
"Saudi Arabia","35.4000","35340.6830"
"Jordan","35.5000","10269.0210"
"United States","36.2000","332915.0730"
"Kuwait","37.9000","4328.5500"
"Micronesia","45.8000","116.2540"
"Kiribati","46","121.3920"
"Samoa","47.3000","200.1490"
"Tonga","48.2000","106.7600"
"Niue","50","1.6190"
"Tuvalu","51.6000","11.9310"
"Marshall Islands","52.9000","59.6100"
"Palau","55.3000","18.1690"
"Cook Islands","55.9000","17.5650"
"Nauru","61","10.8760"
